EC	count
2.4.1.212	7
2.4.1.213	3
2.4.1.216	1
2.4.1.226	3
2.4.1.227	73640
2.4.1.230	3
2.4.1.245	1
2.4.1.246	1
2.4.1.247	1
2.4.1.248	2
2.4.1.25	45338
2.4.1.250	6594
2.4.1.251	2
2.4.1.252	3
2.4.1.264	2
2.4.1.266	7
2.4.1.268	1
2.4.1.269	1
2.4.1.270	1
2.4.1.276	2
2.4.1.277	1
2.4.1.278	1
2.4.1.279	1
2.4.1.280	2
2.4.1.281	3202
2.4.1.282	1
2.4.1.283	3
2.4.1.284	1
2.4.1.285	1
2.4.1.287	3
2.4.1.288	2
2.4.1.289	2
2.4.1.290	1
2.4.1.291	1
2.4.1.292	1
2.4.1.293	1
2.4.1.301	1
2.4.1.302	1
2.4.1.303	1
2.4.1.304	1
2.4.1.305	2
2.4.1.306	2
2.4.1.308	1
2.4.1.309	1
2.4.1.310	1
2.4.1.311	1
2.4.1.315	1204
2.4.1.316	1
2.4.1.317	1
2.4.1.318	1
2.4.1.319	1
2.4.1.320	1
2.4.1.321	1
2.4.1.322	1
2.4.1.325	3582
2.4.1.326	1
2.4.1.327	1
2.4.1.328	1
2.4.1.329	504
2.4.1.33	2
2.4.1.331	1
2.4.1.332	1
2.4.1.333	1
2.4.1.336	2
2.4.1.337	3
2.4.1.338	2
2.4.1.339	2
2.4.1.340	1
2.4.1.342	3
2.4.1.345	6
2.4.1.346	4
2.4.1.347	2146
2.4.1.348	1
2.4.1.352	3
2.4.1.355	2
2.4.1.359	1
2.4.1.361	2
2.4.1.369	1
2.4.1.4	2
2.4.1.44	2
2.4.1.5	1806
2.4.1.52	1
2.4.1.53	1
2.4.1.54	1
2.4.1.56	2
2.4.1.58	2
2.4.1.60	1
2.4.1.64	1
2.4.1.7	2114
2.4.1.70	1
2.4.1.8	2
2.4.1.83	3
2.4.1.9	2
2.4.2.1	109958
2.4.2.10	70868
2.4.2.14	63102
2.4.2.15	13886
2.4.2.17	60222
2.4.2.18	59132
2.4.2.19	56276
2.4.2.2	24906
2.4.2.21	39726
2.4.2.22	25538
2.4.2.27	1
2.4.2.28	70548
2.4.2.29	64714
2.4.2.3	20166
2.4.2.31	1546
2.4.2.36	2
2.4.2.37	1
2.4.2.4	28804
2.4.2.43	5754
2.4.2.44	3710
2.4.2.45	4
2.4.2.46	2300
2.4.2.47	6
2.4.2.49	1
2.4.2.52	19250
2.4.2.53	4212
2.4.2.59	1608
2.4.2.6	3
2.4.2.7	51638
2.4.2.8	50248
2.4.2.9	73134
2.4.99.12	44720
2.4.99.13	174
2.4.99.14	168
2.4.99.15	1
2.4.99.16	16274
2.4.99.17	58522
2.4.99.19	3
2.4.99.6	4
2.5.1.1	2
2.5.1.10	15
2.5.1.101	2
2.5.1.103	3
2.5.1.104	1
2.5.1.111	1
2.5.1.113	3
2.5.1.115	1
2.5.1.120	10116
2.5.1.121	1
2.5.1.123	1
2.5.1.124	1
2.5.1.125	1
2.5.1.126	1
2.5.1.128	434
2.5.1.129	33506
2.5.1.130	1144
2.5.1.134	1
2.5.1.135	2
2.5.1.140	20
2.5.1.141	54610
2.5.1.143	1
2.5.1.145	73478
2.5.1.147	8490
2.5.1.149	2
2.5.1.15	9694
2.5.1.150	1
2.5.1.152	1
2.5.1.153	2
2.5.1.16	34614
2.5.1.17	68512
2.5.1.18	36
2.5.1.19	72600
2.5.1.2	1
2.5.1.22	2
2.5.1.25	17746
2.5.1.27	356
2.5.1.29	6
2.5.1.3	59766
2.5.1.30	4
